epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.11569,1.80609,4.14661,1.81862,0.00167,0.33333,0.17587,0.13041,1.50578,3.95724,1.63147,4e-05,4e-05,4e-05
2,6.13239,1.76243,4.11628,1.57616,0.00233,0.46667,0.25956,0.1793,1.41515,3.73314,1.43926,9.802e-05,9.802e-05,9.802e-05
3,7.82305,1.47572,3.6347,1.4342,0.00267,0.53333,0.27594,0.19737,1.37446,3.56694,1.25959,0.000153664,0.000153664,0.000153664
4,9.45637,1.54085,3.08662,1.25149,0.003,0.6,0.17346,0.0695,1.52231,3.58662,1.19674,0.000206932,0.000206932,0.000206932
5,11.0629,1.32737,2.35051,1.20106,0.003,0.6,0.23878,0.11351,1.59551,3.63903,1.22891,0.000257824,0.000257824,0.000257824
6,12.6084,1.40425,2.50251,1.23339,0.003,0.6,0.23307,0.11103,1.56792,3.44834,1.1914,0.00030634,0.00030634,0.00030634
7,14.1691,1.32965,2.16471,1.13498,0.00267,0.53333,0.31691,0.1749,1.60381,3.42792,1.2822,0.00035248,0.00035248,0.00035248
8,15.7157,1.33227,2.2164,1.16458,0.003,0.6,0.3548,0.20315,1.58603,3.47797,1.28008,0.000396244,0.000396244,0.000396244
9,17.3086,1.19238,2.7374,1.14895,0.00333,0.66667,0.40305,0.22423,1.59261,3.55316,1.25804,0.000437632,0.000437632,0.000437632
10,18.8418,1.40905,2.14534,1.24727,0.00333,0.66667,0.40396,0.21874,1.54768,3.54952,1.24239,0.000476644,0.000476644,0.000476644
11,20.4075,1.21826,2.00022,1.09918,0.003,0.6,0.27418,0.18189,1.60677,3.48927,1.32059,0.00051328,0.00051328,0.00051328
12,21.9888,1.32504,1.84875,1.17702,0.003,0.6,0.29213,0.17926,1.4875,3.4645,1.22273,0.00054754,0.00054754,0.00054754
13,23.5721,1.36546,2.0527,1.1535,0.003,0.6,0.17954,0.12145,1.55307,3.57439,1.26526,0.000579424,0.000579424,0.000579424
14,25.1295,1.46228,2.09228,1.29103,0.003,0.6,0.20587,0.14862,1.5216,3.4672,1.22702,0.000608932,0.000608932,0.000608932
15,26.6628,1.22425,2.06195,1.10699,0.14025,0.4,0.20478,0.14288,1.47882,3.38639,1.16905,0.000636064,0.000636064,0.000636064
16,28.2251,1.35687,1.91814,1.19547,0.003,0.6,0.22218,0.14462,1.55182,3.30762,1.23655,0.00066082,0.00066082,0.00066082
17,29.7815,1.24685,1.93986,1.11732,0.00449,0.53333,0.26144,0.16655,1.5358,3.26203,1.26141,0.0006832,0.0006832,0.0006832
18,31.3629,1.18459,1.90734,1.09477,0.50112,0.13333,0.2809,0.18705,1.45728,3.27257,1.23233,0.000703204,0.000703204,0.000703204
19,32.9251,1.2037,1.88628,1.11024,0.69832,0.15865,0.2846,0.18708,1.48236,3.21814,1.28375,0.000720832,0.000720832,0.000720832
20,34.5335,1.16322,1.72561,1.05507,0.71855,0.17484,0.25065,0.16588,1.63826,3.35842,1.34613,0.000736084,0.000736084,0.000736084
21,36.0512,1.15749,1.67552,1.05617,0.58552,0.2,0.27973,0.18828,1.71049,3.31472,1.43254,0.00074896,0.00074896,0.00074896
